,state,state_income,region,region_url
0,al,49671,auburn,https://auburn.craigslist.org
106,al,49671,birmingham,https://bham.craigslist.org
620,al,49671,dothan,https://dothan.craigslist.org
677,al,49671,florence / muscle shoals,https://shoals.craigslist.org
729,al,49671,gadsden-anniston,https://gadsden.craigslist.org
754,al,49671,huntsville / decatur,https://huntsville.craigslist.org
1147,al,49671,mobile,https://mobile.craigslist.org
1239,al,49671,montgomery,https://montgomery.craigslist.org
1356,al,49671,tuscaloosa,https://tuscaloosa.craigslist.org
1371,ak,65677,anchorage / mat-su,https://anchorage.craigslist.org
2443,ak,65677,fairbanks,https://fairbanks.craigslist.org
2542,ak,65677,kenai peninsula,https://kenai.craigslist.org
2562,ak,65677,southeast alaska,https://juneau.craigslist.org
2564,az,55574,flagstaff / sedona,https://flagstaff.craigslist.org
2871,az,55574,mohave county,https://mohave.craigslist.org
2921,az,55574,phoenix,https://phoenix.craigslist.org
4021,az,55574,prescott,https://prescott.craigslist.org
4255,az,55574,show low,https://showlow.craigslist.org
4283,az,55574,sierra vista,https://sierravista.craigslist.org
4360,az,55574,tucson,https://tucson.craigslist.org
5525,az,55574,yuma,https://yuma.craigslist.org
5560,ar,50588,fayetteville,https://fayar.craigslist.org
5854,ar,50588,fort smith,https://fortsmith.craigslist.org
5887,ar,50588,jonesboro,https://jonesboro.craigslist.org
5939,ar,50588,little rock,https://littlerock.craigslist.org
6087,ar,50588,texarkana,https://texarkana.craigslist.org
6142,ca,76800,bakersfield,https://bakersfield.craigslist.org
6914,ca,76800,chico,https://chico.craigslist.org
7487,ca,76800,fresno / madera,https://fresno.craigslist.org
8268,ca,76800,gold country,https://goldcountry.craigslist.org
8425,ca,76800,hanford-corcoran,https://hanford.craigslist.org
8455,ca,76800,humboldt county,https://humboldt.craigslist.org
8495,ca,76800,imperial county,https://imperial.craigslist.org
8502,ca,76800,inland empire,https://inlandempire.craigslist.org
9214,ca,76800,los angeles,https://losangeles.craigslist.org
9882,ca,76800,mendocino county,https://mendocino.craigslist.org
9911,ca,76800,merced,https://merced.craigslist.org
10164,ca,76800,modesto,https://modesto.craigslist.org
10726,ca,76800,monterey bay,https://monterey.craigslist.org
11076,ca,76800,orange county,https://orangecounty.craigslist.org
11537,ca,76800,palm springs,https://palmsprings.craigslist.org
11945,ca,76800,redding,https://redding.craigslist.org
13283,ca,76800,sacramento,https://sacramento.craigslist.org
14190,ca,76800,san diego,https://sandiego.craigslist.org
14776,ca,76800,san luis obispo,https://slo.craigslist.org
15120,ca,76800,santa barbara,https://santabarbara.craigslist.org
15229,ca,76800,ventura county,https://ventura.craigslist.org
15298,ca,76800,santa maria,https://santamaria.craigslist.org
15360,ca,76800,SF bay area,https://sfbay.craigslist.org
16377,ca,76800,siskiyou county,https://siskiyou.craigslist.org
16385,ca,76800,stockton,https://stockton.craigslist.org
16987,ca,76800,susanville,https://susanville.craigslist.org
17308,ca,76800,visalia-tulare,https://visalia.craigslist.org
17395,ca,76800,yuba-sutter,https://yubasutter.craigslist.org
17525,co,70715,boulder,https://boulder.craigslist.org
17797,co,70715,colorado springs,https://cosprings.craigslist.org
18122,ne,61210,north platte,https://northplatte.craigslist.org
18682,co,70715,denver,https://denver.craigslist.org
19727,co,70715,eastern CO,https://eastco.craigslist.org
19736,co,70715,fort collins / north CO,https://fortcollins.craigslist.org
20431,co,70715,high rockies,https://rockies.craigslist.org
20450,co,70715,pueblo,https://pueblo.craigslist.org
20639,co,70715,western slope,https://westslope.craigslist.org
21017,ct,82885,eastern CT,https://newlondon.craigslist.org
21171,ct,82885,hartford,https://hartford.craigslist.org
21948,ct,82885,new haven,https://newhaven.craigslist.org
22322,ct,82885,northwest CT,https://nwct.craigslist.org
22354,dc,96659,"washington, DC",https://washingtondc.craigslist.org
23519,de,59846,delaware,https://delaware.craigslist.org
23694,fl,62136,daytona beach,https://daytona.craigslist.org
24171,fl,62136,florida keys,https://keys.craigslist.org
24193,fl,62136,ft myers / SW florida,https://fortmyers.craigslist.org
25238,fl,62136,gainesville,https://gainesville.craigslist.org
25524,fl,62136,heartland florida,https://cfl.craigslist.org
25539,fl,62136,jacksonville,https://jacksonville.craigslist.org
26093,fl,62136,lakeland,https://lakeland.craigslist.org
26375,fl,62136,north central FL,https://lakecity.craigslist.org
26382,fl,62136,ocala,https://ocala.craigslist.org
26631,fl,62136,okaloosa / walton,https://okaloosa.craigslist.org
26658,fl,62136,orlando,https://orlando.craigslist.org
27133,fl,62136,panama city,https://panamacity.craigslist.org
27157,fl,62136,pensacola,https://pensacola.craigslist.org
27320,fl,62136,sarasota-bradenton,https://sarasota.craigslist.org
27978,fl,62136,south florida,https://miami.craigslist.org
28300,fl,62136,space coast,https://spacecoast.craigslist.org
28519,fl,62136,st augustine,https://staugustine.craigslist.org
28580,fl,62136,tallahassee,https://tallahassee.craigslist.org
28710,fl,62136,tampa bay area,https://tampa.craigslist.org
29367,fl,62136,treasure coast,https://treasure.craigslist.org
29518,ga,55846,albany,https://albanyga.craigslist.org
29535,ga,55846,athens,https://athensga.craigslist.org
29690,ga,55846,atlanta,https://atlanta.craigslist.org
30360,ga,55846,augusta,https://augusta.craigslist.org
30401,ga,55846,brunswick,https://brunswick.craigslist.org
30402,ga,55846,columbus,https://columbusga.craigslist.org
30462,ga,55846,macon / warner robins,https://macon.craigslist.org
30487,ga,55846,northwest GA,https://nwga.craigslist.org
30505,ga,55846,savannah / hinesville,https://savannah.craigslist.org
30560,ga,55846,statesboro,https://statesboro.craigslist.org
30567,ga,55846,valdosta,https://valdosta.craigslist.org
30576,hi,60711,hawaii,https://honolulu.craigslist.org
31520,id,52276,boise,https://boise.craigslist.org
32771,id,52276,east idaho,https://eastidaho.craigslist.org
33218,id,52276,lewiston / clarkston,https://lewiston.craigslist.org
33545,id,52276,pullman / moscow,https://pullman.craigslist.org
34528,id,52276,twin falls,https://twinfalls.craigslist.org
34649,il,67165,bloomington-normal,https://bn.craigslist.org
34726,il,67165,champaign urbana,https://chambana.craigslist.org
34751,il,67165,chicago,https://chicago.craigslist.org
34877,wi,59787,milwaukee,https://milwaukee.craigslist.org
35408,il,67165,decatur,https://decatur.craigslist.org
35444,il,67165,la salle co,https://lasalle.craigslist.org
35446,il,67165,peoria,https://peoria.craigslist.org
35564,il,67165,"quad cities, IA/IL",https://quadcities.craigslist.org
35695,il,67165,rockford,https://rockford.craigslist.org
35960,il,67165,southern illinois,https://carbondale.craigslist.org
36141,il,67165,springfield,https://springfieldil.craigslist.org
36968,il,67165,western IL,https://quincy.craigslist.org
36969,in,56435,bloomington,https://bloomington.craigslist.org
36980,in,56435,evansville,https://evansville.craigslist.org
37061,in,56435,fort wayne,https://fortwayne.craigslist.org
37297,in,56435,indianapolis,https://indianapolis.craigslist.org
37862,in,56435,kokomo,https://kokomo.craigslist.org
37863,in,56435,lafayette / west lafayette,https://tippecanoe.craigslist.org
37894,in,56435,muncie / anderson,https://muncie.craigslist.org
37899,in,56435,richmond,https://richmondin.craigslist.org
37919,in,56435,south bend / michiana,https://southbend.craigslist.org
38277,in,56435,terre haute,https://terrehaute.craigslist.org
38279,ia,57080,ames,https://ames.craigslist.org
38403,ia,57080,cedar rapids,https://cedarrapids.craigslist.org
38727,ia,57080,des moines,https://desmoines.craigslist.org
39885,ia,57080,dubuque,https://dubuque.craigslist.org
39913,ia,57080,fort dodge,https://fortdodge.craigslist.org
39915,ia,57080,iowa city,https://iowacity.craigslist.org
39928,ia,57080,mason city,https://masoncity.craigslist.org
40595,ia,57080,sioux city,https://siouxcity.craigslist.org
40648,ia,57080,southeast IA,https://ottumwa.craigslist.org
40666,ia,57080,waterloo / cedar falls,https://waterloo.craigslist.org
41664,ks,58857,lawrence,https://lawrence.craigslist.org
41681,ks,58857,manhattan,https://ksu.craigslist.org
41708,ks,58857,northwest KS,https://nwks.craigslist.org
41710,ks,58857,salina,https://salina.craigslist.org
41719,ks,58857,southeast KS,https://seks.craigslist.org
41738,ks,58857,southwest KS,https://swks.craigslist.org
41757,ks,58857,topeka,https://topeka.craigslist.org
41846,ks,58857,wichita,https://wichita.craigslist.org
42122,ky,51298,bowling green,https://bgky.craigslist.org
42184,ky,51298,eastern kentucky,https://eastky.craigslist.org
42233,ky,51298,huntington-ashland,https://huntington.craigslist.org
42240,ky,51298,lexington,https://lexington.craigslist.org
42620,ky,51298,louisville,https://louisville.craigslist.org
42960,ky,51298,owensboro,https://owensboro.craigslist.org
42961,ky,51298,western KY,https://westky.craigslist.org
42979,la,54181,baton rouge,https://batonrouge.craigslist.org
43071,la,54181,central louisiana,https://cenla.craigslist.org
43081,la,54181,houma,https://houma.craigslist.org
43095,la,54181,lafayette,https://lafayette.craigslist.org
43100,la,54181,lake charles,https://lakecharles.craigslist.org
43105,la,54181,monroe,https://monroe.craigslist.org
43107,la,54181,new orleans,https://neworleans.craigslist.org
43375,la,54181,shreveport,https://shreveport.craigslist.org
43431,me,58272,maine,https://maine.craigslist.org
44018,md,69710,annapolis,https://annapolis.craigslist.org
44049,md,69710,baltimore,https://baltimore.craigslist.org
44817,md,69710,eastern shore,https://easternshore.craigslist.org
44829,md,69710,frederick,https://frederick.craigslist.org
44858,md,69710,southern maryland,https://smd.craigslist.org
44884,md,69710,western maryland,https://westmd.craigslist.org
44890,ma,83593,boston,https://boston.craigslist.org
45607,ma,83593,cape cod / islands,https://capecod.craigslist.org
45707,ma,83593,south coast,https://southcoast.craigslist.org
45787,ma,83593,western massachusetts,https://westernmass.craigslist.org
46040,ma,83593,worcester / central MA,https://worcester.craigslist.org
46427,mi,45887,ann arbor,https://annarbor.craigslist.org
46444,mi,45887,jackson,https://jxn.craigslist.org
